Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Artturi Lehkonen (13880196),Artturi Lehkonen,13880196,W/UTIL,3600,MON@BOS 12/01/2019 07:00PM ET,MON,7.20
D,Matt Grzelcyk (13880300),Matt Grzelcyk,13880300,D/UTIL,3600,MON@BOS 12/01/2019 07:00PM ET,BOS,5.9
C,Jesperi Kotkaniemi (13880114),Jesperi Kotkaniemi,13880114,C/UTIL,3500,MON@BOS 12/01/2019 07:00PM ET,MON,4.85
RW,Danton Heinen (13880198),Danton Heinen,13880198,W/UTIL,3400,MON@BOS 12/01/2019 07:00PM ET,BOS,5.62
D,Ethan Bear (13880302),Ethan Bear,13880302,D/UTIL,3400,EDM@VAN 12/01/2019 10:00PM ET,EDM,6.38
C,Jack Studnicka (13880116),Jack Studnicka,13880116,C/UTIL,3300,MON@BOS 12/01/2019 07:00PM ET,BOS,4.75
LW,Paul Byron (13880200),Paul Byron,13880200,W/UTIL,3300,MON@BOS 12/01/2019 07:00PM ET,MON,2.94
D,Victor Mete (13880304),Victor Mete,13880304,D/UTIL,3200,MON@BOS 12/01/2019 07:00PM ET,MON,6.30
C,Brandon Sutter (13880118),Brandon Sutter,13880118,C/UTIL,3200,EDM@VAN 12/01/2019 10:00PM ET,VAN,7.36
RW,Jake Virtanen (13880202),Jake Virtanen,13880202,W/UTIL,3200,EDM@VAN 12/01/2019 10:00PM ET,VAN,6.98
D,Brandon Carlo (13880306),Brandon Carlo,13880306,D/UTIL,3100,MON@BOS 12/01/2019 07:00PM ET,BOS,5.85
LW,Josh Leivo (13880204),Josh Leivo,13880204,W/UTIL,3100,EDM@VAN 12/01/2019 10:00PM ET,VAN,6.26
C,Sam Gagner (13880120),Sam Gagner,13880120,C/UTIL,3000,EDM@VAN 12/01/2019 10:00PM ET,EDM,5.2
LW,Jujhar Khaira (13880206),Jujhar Khaira,13880206,W/UTIL,3000,EDM@VAN 12/01/2019 10:00PM ET,EDM,4.10
C,Adam Gaudette (13880122),Adam Gaudette,13880122,C/UTIL,2900,EDM@VAN 12/01/2019 10:00PM ET,VAN,7.04
LW,Alex Chiasson (13880208),Alex Chiasson,13880208,W/UTIL,2900,EDM@VAN 12/01/2019 10:00PM ET,EDM,4.53
D,Tyler Myers (13880308),Tyler Myers,13880308,D/UTIL,2900,EDM@VAN 12/01/2019 10:00PM ET,VAN,5.65
C,Sean Kuraly (13880124),Sean Kuraly,13880124,C/UTIL,2800,MON@BOS 12/01/2019 07:00PM ET,BOS,5.09
LW,Nick Cousins (13880210),Nick Cousins,13880210,W/UTIL,2800,MON@BOS 12/01/2019 07:00PM ET,MON,5.54
