"","ID","Name","Salary","Position","Points","C1","C2","W1","W2","W3","D1","D2","G","Util","Team","GameInfo"
"44",13880102,"David Krejci",5900,"C",9.1,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"45",13880166,"David Pastrnak",8100,"RW",19.76,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"46",13880104,"Elias Pettersson",5700,"C",12.73,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"47",13880302,"Ethan Bear",3400,"D",6.38,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"48",13880350,"Evan Bouchard",2500,"D",0,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"49",13880130,"Gaetan Haas",2500,"C",3.43,1,1,0,0,0,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"50",13880368,"Guillaume Brisebois",2500,"D",0,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"51",13880334,"Gustav Olofsson",2500,"D",8.4,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"52",13880178,"J.T. Miller",4900,"LW",11.34,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"53",13880116,"Jack Studnicka",3300,"C",4.75,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"54",13880380,"Jacob Markstrom",7500,"G",14.45,0,0,0,0,0,0,0,1,0,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"55",13880192,"Jake DeBrusk",4000,"LW",7.4,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"56",13880202,"Jake Virtanen",3200,"RW",6.98,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"57",13880140,"Jakub Lauko",2500,"C",0,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"58",13880364,"Jakub Zboril",2500,"D",0,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"59",13880358,"Jalen Chatfield",2500,"D",0,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"60",13880186,"James Neal",4300,"RW",9.08,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"61",13880382,"Jaroslav Halak",8400,"G",20.16,0,0,0,0,0,0,0,1,0,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"62",13880136,"Jay Beagle",2500,"C",3.7,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"63",13880288,"Jeff Petry",4500,"D",8.23,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"64",13880374,"Jeremy Lauzon",2500,"D",0,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"65",13880114,"Jesperi Kotkaniemi",3500,"C",4.85,1,1,0,0,0,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"66",13880230,"Joakim Nordstrom",2500,"LW",3.86,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"67",13880238,"Joakim Nygard",2500,"LW",3.81,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"68",13880180,"Joel Armia",4700,"RW",10,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"69",13880344,"Joel Persson",2500,"D",4.27,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"70",13880268,"Joel Teasdale",2500,"LW",0,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"71",13880328,"John Moore",2500,"D",0,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"72",13880184,"Jonathan Drouin",4400,"LW",9.22,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"73",13880212,"Jordan Weal",2700,"RW",5.36,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"74",13880322,"Jordie Benn",2500,"D",4.88,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"75",13880272,"Joseph Gambardella",2500,"LW",0,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"76",13880218,"Josh Archibald",2500,"RW",2.12,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"77",13880256,"Josh Currie",2500,"RW",0,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"78",13880204,"Josh Leivo",3100,"LW",6.26,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"79",13880362,"Josh Teves",2500,"D",0,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"80",13880206,"Jujhar Khaira",3000,"LW",4.1,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"81",13880260,"Justin Bailey",2500,"RW",0,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"82",13880252,"Kailer Yamamoto",2500,"RW",0,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"83",13880360,"Karl Alzner",2500,"D",0,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"84",13880250,"Karson Kuhlman",2500,"RW",2.92,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"85",13880352,"Keegan Lowe",2500,"D",0,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"86",13880387,"Keith Kinkaid",6800,"G",8.1,0,0,0,0,0,0,0,1,0,"MON","MON@BOS 12/01/2019 07:00PM ET"
"87",13880340,"Kevan Miller",2500,"D",0,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"88",13880314,"Kris Russell",2600,"D",5.68,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"89",13880148,"Kyle Brodziak",2500,"C",0,1,1,0,0,0,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
